episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,621,414,93.83,
210,0,0,93.83,
215,0,0,93.83,
220,0,0,93.83,
225,0,0,93.83,
230,0,0,93.83,
235,0,0,93.83,
240,0,0,93.83,
245,0,0,93.83,
250,0,0,93.83,
255,0,0,93.83,
260,0,0,93.83,
265,0,0,93.83,
270,0,0,93.83,
275,0,0,93.83,
280,0,0,93.83,
285,0,0,93.83,
290,0,0,93.83,
295,0,0,93.83,
300,0,0,93.83,
305,0,0,93.83,
310,0,0,93.83,
315,0,0,93.83,
320,0,0,93.83,
325,0,0,93.83,
330,0,0,93.83,
335,0,0,93.83,
340,0,0,93.83,
345,0,0,93.83,
350,0,0,93.83,
355,0,0,93.83,
360,0,0,93.83,
365,0,0,93.83,
370,0,0,93.83,
375,0,0,93.83,
380,0,0,93.83,
385,0,0,93.83,
390,0,0,93.83,
395,0,0,93.83,
400,0,0,93.83,
405,0,0,93.83,
410,0,0,93.83,
415,0,0,93.83,
420,0,0,93.83,
425,0,0,93.83,
430,0,0,93.83,
435,0,0,93.83,
440,0,0,93.83,
445,0,0,93.83,
450,0,0,93.83,
455,0,0,93.83,
460,0,0,93.83,
465,0,0,93.83,
470,0,0,93.83,
475,0,0,93.83,
480,0,0,93.83,
485,0,0,93.83,
490,0,0,93.83,
495,0,0,93.83,
500,0,0,93.83,
